,fonte,uri,data,datadownload,texto,sumario,palavra_chave,autor,organizacao,titulo,id_msg
,TWT,http://twitter.com/Buy #MDNAtoday/status/187310517986144258,Tue Apr 03 19:48:02 BRT 2012,2012-04-03 19:48:30,"Deixarei de seguir essa pessoa. #Vergonha pros fans do A7X , rsrs http://t.co/hcmq70ld",-1,,Buy #MDNAtoday,NULL,NULL,187310517986144000
,TWT,http://twitter.com/ danni oliveira ;g ./status/187310969670729728,Tue Apr 03 19:49:49 BRT 2012,2012-04-03 19:50:18,papaizinho ¬¬¬ #nojo,-1,,danni oliveira ;g .,NULL,NULL,187310969670730000
,TWT,http://twitter.com/??? ;voU tt3 p?pÁ ?*/status/187311907491946496,Tue Apr 03 19:53:33 BRT 2012,2012-04-03 19:54:02,??? ??-?llogo falei pá ele q. qeria qe ele fosse meo u.ú #vergonha ;$,-1,,??? ;voU tt3 p?pÁ ?*,NULL,NULL,187311907491947000
,TWT,http://twitter.com/Me Chama De Bibi/status/187312176795619328,Tue Apr 03 19:54:38 BRT 2012,2012-04-03 19:55:07,tiive qe passa beeem na conde assim 0 #vergonha shauhsuhusahu http://t.co/N83RhWcv,-1,,Me Chama De Bibi,NULL,NULL,187312176795619000
,TWT,http://twitter.com/Me Chama De Bibi/status/187312540622139393,Tue Apr 03 19:56:06 BRT 2012,2012-04-03 19:56:34,é eu tive qe passa beem na conde assim 0 #vergonha HUSHAUSH http://t.co/j0LlvBRj,-1,,Me Chama De Bibi,NULL,NULL,187312540622139000
,TWT,http://twitter.com/rafael duarte /status/187312847003455490,Tue Apr 03 19:57:17 BRT 2012,2012-04-03 19:57:46,#vergonha do brazileiro,-1,,rafael duarte,NULL,NULL,187312847003456000
,TWT,http://twitter.com/chris xD /status/187313446306582528,Tue Apr 03 19:59:40 BRT 2012,2012-04-03 20:00:09,@lailima10 kkkkkkkkkkkkkkkkk nem me fale kk #Vergonha,-1,,chris xD,NULL,NULL,187313446306582000
,TWT,http://twitter.com/Sô princesa da Pri ?/status/187314134239543297,Tue Apr 03 20:02:24 BRT 2012,2012-04-03 20:02:53,Miguelice #nojo :@,-1,,Sô princesa da Pri ?,NULL,NULL,187314134239543000
,TWT,http://twitter.com/Sô princesa da Pri ?/status/187314186991316993,Tue Apr 03 20:02:36 BRT 2012,2012-04-03 20:03:05,Miguelice #nojo :@,-1,,Sô princesa da Pri ?,NULL,NULL,187314186991317000
,TWT,http://twitter.com/Judy Halfen (LAILYF)/status/187314990674477056,Tue Apr 03 20:05:48 BRT 2012,2012-04-03 20:06:17,"tlg q eu tava lá contando toda emocionada e uns cara bateram na porta, e eu continuei cantando achando q era meu pai e eles UHUUL #vergonha",-1,,Judy Halfen (LAILYF),NULL,NULL,187314990674477000
,TWT,http://twitter.com/Rádio Vlogs/status/187315761948262400,Tue Apr 03 20:08:52 BRT 2012,2012-04-03 20:09:21,Brasil sem corrupção #ForaSarney,-1,,Rádio Vlogs,NULL,NULL,187315761948262000
,TWT,http://twitter.com/Marcelo Schmitt/status/187316064445673472,Tue Apr 03 20:10:04 BRT 2012,2012-04-03 20:10:39,A @skybrasil ao invés de ter @giseleofficial como garota propaganda deveria melhorar o atendimento.1h30 em espera. #vergonha sky hdtv isso?,-1,,Marcelo Schmitt,NULL,NULL,187316064445673000
,TWT,http://twitter.com/Rhaissa/status/187316528079839232,Tue Apr 03 20:11:55 BRT 2012,2012-04-03 20:12:23,@BrumMengo @15Brum kkkkkkkkkkkkkkkk a todo mundo rioo! #vergonha,-1,,Rhaissa,NULL,NULL,187316528079839000
,TWT,http://twitter.com/Daltro7/status/187316880267149312,Tue Apr 03 20:13:19 BRT 2012,2012-04-03 20:13:47,@submarino Vocês protegem um fraudador!!! #Vergonha http://t.co/dR3hgnFh,-1,,Daltro7,NULL,NULL,187316880267149000
,TWT,http://twitter.com/Leone Kristofferson/status/187317251773448193,Tue Apr 03 20:14:47 BRT 2012,2012-04-03 20:15:16,@veramcp2: Imperdível o artigo da Maria Inês Nassif: O caso #Demóstenes. http://t.co/DiL6ZnWD #Dilma #PT #LULA #PrivatariaTucana #Dem #PSDB,-1,,Leone Kristofferson,NULL,NULL,187317251773448000
,TWT,http://twitter.com/Gustavo Rodrigues/status/187317362930876416,Tue Apr 03 20:15:14 BRT 2012,2012-04-03 20:15:42,aderi as fotos com biquinho kkkkkkkkkkkkkkk #vergonha,-1,,Gustavo Rodrigues,NULL,NULL,187317362930876000
,TWT,"http://twitter.com/uma ??nri??lli ,'/status/187318691292135424",Tue Apr 03 20:20:30 BRT 2012,2012-04-03 20:20:59,Hog eu fui secada dms ;s ; deeu ate; #vergonha =/,-1,,"uma ??nri??lli ,'",NULL,NULL,187318691292135000
,TWT,http://twitter.com/Carolina Marchesini /status/187319131136196608,Tue Apr 03 20:22:15 BRT 2012,2012-04-03 20:22:44,Pessoas como esse cara deviam MORRER #NOJO,-1,,Carolina Marchesini,NULL,NULL,187319131136197000
,TWT,http://twitter.com/Carolina Marchesini /status/187319744368615425,Tue Apr 03 20:24:41 BRT 2012,2012-04-03 20:25:10,filho da puta tem mais é que ir pro inferno #NOJO hauhauahuahuaa,-1,,Carolina Marchesini,NULL,NULL,187319744368615000
,TWT,http://twitter.com/João Neto/status/187320609246679040,Tue Apr 03 20:28:08 BRT 2012,2012-04-03 20:28:37,melhor do que passar a #vergonha de não passar da primeira fase @MjrRibeiro,-1,,João Neto,NULL,NULL,187320609246679000
,TWT,http://twitter.com/???????Júlia ?/status/187322195293388800,Tue Apr 03 20:34:26 BRT 2012,2012-04-03 20:34:55,"Eae, quem quer um Sanduba? http://t.co/qGOaqrC9 #nojo",-1,,???????Júlia ?,NULL,NULL,187322195293389000
,TWT,http://twitter.com/? ?o? ??? ??? /status/187322412558331904,Tue Apr 03 20:35:18 BRT 2012,2012-04-03 20:35:47,"a pior coisa é uma mulher jogada que todo cara já comeu, nem os gays ela deixou passar. #nojo",-1,,? ?o? ??? ???,NULL,NULL,187322412558332000
,TWT,http://twitter.com/Gusttavo Lima/status/187322699234811904,Tue Apr 03 20:36:26 BRT 2012,2012-04-03 20:36:55,"@CariocadoLS kkkkkkk nem duvide, uma vez ele viu as piadinhas que eu posto aqui, quando me viu ficou rindo kkkkkkkk #vergonha",-1,,Gusttavo Lima,NULL,NULL,187322699234812000
,TWT,http://twitter.com/Edu Goldenberg/status/187322764556894210,Tue Apr 03 20:36:42 BRT 2012,2012-04-03 20:37:10,"Tolerância, segundo esse @porquenos, só pros ativistas. Que #nojo!",-1,,Edu Goldenberg,NULL,NULL,187322764556894000
,TWT,http://twitter.com/Nicolas Turci/status/187322777051742208,Tue Apr 03 20:36:44 BRT 2012,2012-04-03 20:37:13,#Vergonha na cara #Respeitamos quem tem!,-1,,Nicolas Turci,NULL,NULL,187322777051742000
,TWT,http://twitter.com/Nicolas Turci/status/187322870257557504,Tue Apr 03 20:37:07 BRT 2012,2012-04-03 20:37:36,#Vergonha na cara #Respeitamos quem tem! http://t.co/5EhMqyrL,-1,,Nicolas Turci,NULL,NULL,187322870257558000
,TWT,http://twitter.com/Victor Kunert/status/187323445443436547,Tue Apr 03 20:39:24 BRT 2012,2012-04-03 20:39:53,Brasil e Argentina aqui no serra em setembro num é sinônimo não de grandes jogadas mas de #ESMOLA .#VERGONHA,-1,,Victor Kunert,NULL,NULL,187323445443437000
,TWT,http://twitter.com/CARLÃO SANTA CECILIA/status/187323475046825985,Tue Apr 03 20:39:31 BRT 2012,2012-04-03 20:40:00,A população de aparecida @delubio esta sofrendo demais com esse forasteiro com seu padrinho carlos cahoeira #vergonha #decpção #au/iptu,-1,,CARLÃO SANTA CECILIA,NULL,NULL,187323475046826000
,TWT,http://twitter.com/Lavinia /status/187323911195721728,Tue Apr 03 20:41:15 BRT 2012,2012-04-03 20:41:44,@JaaquePiovani @oilaara KAKAKAKA VAMOS FUMAR ALFACE CM OREGANO? #NOJO,-1,,Lavinia,NULL,NULL,187323911195722000
,TWT,http://twitter.com/Rodrigo/status/187324609757065217,Tue Apr 03 20:44:01 BRT 2012,2012-04-03 20:44:31,@_luizx @anapaula_96 como sempre vc e mais mulher q as garotas #VERGONHA u.u,-1,,Rodrigo,NULL,NULL,187324609757065000
,TWT,http://twitter.com/Léa B Guimarães/status/187326051855241217,Tue Apr 03 20:49:45 BRT 2012,2012-04-03 20:50:14,“ #nojo pq não capa um cidadão desses? @cbonlinedf: Polícia prende pai acusado de estuprar a filha de 16 durante 11anos http//t.co/Jk9jXLQK,-1,,Léa B Guimarães,NULL,NULL,187326051855241000
,TWT,http://twitter.com/Sidnei /status/187328083664191488,Tue Apr 03 20:57:50 BRT 2012,2012-04-03 20:58:19,Os novos craques do Barcelona #Vergonha http://t.co/2JltD5Nz,-1,,Sidnei,NULL,NULL,187328083664191000
,TWT,http://twitter.com/Leone Kristofferson/status/187328887213142018,Tue Apr 03 21:01:01 BRT 2012,2012-04-03 21:01:30,Dia da Mentira nada tem a ver com sociopatas da política: Personalidades bandidas http://t.co/ppyqrKzk #Dilma #PrivatariaTucana #Brasil #Dem,-1,,Leone Kristofferson,NULL,NULL,187328887213142000
,TWT,http://twitter.com/David Antunes 2012/status/187330486908100608,Tue Apr 03 21:07:23 BRT 2012,2012-04-03 21:07:52,@VEJA @delubiosoares #dirceu #palocci todos quadrilheiros @ptbrasil os manteve no partido e protegeu os larápios,-1,,David Antunes 2012,NULL,NULL,187330486908101000
,TWT,http://twitter.com/Luiz Pacifico/status/187330595309883392,Tue Apr 03 21:07:49 BRT 2012,2012-04-03 21:08:18,@MaliaESPN #VERGONHA e o pior é não vai ficar só nisso...todos sabemos !!,-1,,Luiz Pacifico,NULL,NULL,187330595309883000
,TWT,http://twitter.com/Priscila Fróis/status/187330659042340864,Tue Apr 03 21:08:04 BRT 2012,2012-04-03 21:08:33,Que dó dos futuros maridos dessas meninas que não sabem nem ferver água e arrumar a própria cama! #Vergonha,-1,,Priscila Fróis,NULL,NULL,187330659042341000
,TWT,http://twitter.com/PAULO SÉRGIO/status/187331635203686400,Tue Apr 03 21:11:56 BRT 2012,2012-04-03 21:12:26,Tomaram do Milan hoje. #Vergonha,-1,,PAULO SÉRGIO,NULL,NULL,187331635203686000
,TWT,http://twitter.com/Andre M. Carvalho/status/187331659929100288,Tue Apr 03 21:12:02 BRT 2012,2012-04-03 21:12:32,"O Brasil igualou-se na ONU à Índia, Paquistão, Cuba e Venezuela CONTRA OS JORNALISTAS do mundo todo... #vergonha",-1,,Andre M. Carvalho,NULL,NULL,187331659929100000
,TWT,http://twitter.com/G?eicia?e Costa/status/187332224226570241,Tue Apr 03 21:14:17 BRT 2012,2012-04-03 21:14:46,"vei e cada coisa q esse povo da minha familia faz passar fico ate com #vergonha ,to passada aki,fato nao tenho nada a ver com isso.",-1,,G?eicia?e Costa,NULL,NULL,187332224226570000
,TWT,http://twitter.com/Mc Aguiar. *-*/status/187332485204541441,Tue Apr 03 21:15:19 BRT 2012,2012-04-03 21:15:48,Nao sabia q eram eles q cantavam essa msc! ‘-‘ #Vergonha,-1,,Mc Aguiar. *-*,NULL,NULL,187332485204541000
,TWT,http://twitter.com/Bernardo José /status/187332667845509122,Tue Apr 03 21:16:03 BRT 2012,2012-04-03 21:16:32,#vergonha,-1,,Bernardo José,NULL,NULL,187332667845509000
,TWT,http://twitter.com/WiLLiaNN/status/187333780665671680,Tue Apr 03 21:20:28 BRT 2012,2012-04-03 21:20:57,#VERGONHA !!!,-1,,WiLLiaNN,NULL,NULL,187333780665672000
,TWT,"http://twitter.com/ , eaê tterrivel ;9/status/187334615340556288",Tue Apr 03 21:23:47 BRT 2012,2012-04-03 21:24:16,"@Rafael_Meelo , kkkk é #VERGONHA , mais se você falar comigo eu vou fallar com você #PODEPAH ! kkkkkkkk , s2",-1,,", eaê tterrivel ;9",NULL,NULL,187334615340556000
,TWT,http://twitter.com/Carlo Vinícius/status/187334871914524672,Tue Apr 03 21:24:48 BRT 2012,2012-04-03 21:25:18,Total absurdo a situação vivida por esta cidadã! Surreal é pouco! Publicado pelo @BlogdoNoblat em http://t.co/6S0e6Tbi #Vergonha,-1,,Carlo Vinícius,NULL,NULL,187334871914525000
,TWT,http://twitter.com/richard trotta/status/187335000360882177,Tue Apr 03 21:25:19 BRT 2012,2012-04-03 21:25:48,chego ligo a tv e vjo cmo meu time @CR_Flamengo foi incompetente Lanus 5x0 no olimpia #vergonha,-1,,richard trotta,NULL,NULL,187335000360882000
,TWT,http://twitter.com/Jarlam Oliveira/status/187335075862552577,Tue Apr 03 21:25:37 BRT 2012,2012-04-03 21:26:06,#vergonha #justiça “@globoesportecom: Porto é punido por ofensas racistas da torcida em jogo com Manchester Cityhttp://t.co/PWQR6ipu”,-1,,Jarlam Oliveira,NULL,NULL,187335075862553000
,TWT,http://twitter.com/» Matheus Kane « ?/status/187335085303939073,Tue Apr 03 21:25:39 BRT 2012,2012-04-03 21:26:08,@JVorazes OUTRA indireta pra mim (?) kkk #vergonha,-1,,» Matheus Kane « ?,NULL,NULL,187335085303939000
,TWT,http://twitter.com/Cloves Reges Maia/status/187335351839358976,Tue Apr 03 21:26:43 BRT 2012,2012-04-03 21:27:12,Operação Monte Carlo desnuda a bancada goiana no congresso. Não temos representatividade. Sustentávamos na mentira e na leniência. #Vergonha,-1,,Cloves Reges Maia,NULL,NULL,187335351839359000
,TWT,http://twitter.com/Odair F_Jr'/status/187335718417334272,Tue Apr 03 21:28:10 BRT 2012,2012-04-03 21:28:39,"@LaarySchitine Sóo faltoo o vcee faze o coraçaozinhu, mais me #PARECIA qee vc tava com #VERGONHA kkkk",-1,,Odair F_Jr',NULL,NULL,187335718417334000
,TWT,http://twitter.com/Guiano ?/status/187336258299764738,Tue Apr 03 21:30:19 BRT 2012,2012-04-03 21:30:49,Largam a banda pra ficar fazendo duetos sem fim com outros cantores ?? @LenaKatina & @JuliaVolkova #VERGONHA,-1,,Guiano ?,NULL,NULL,187336258299765000
,TWT,http://twitter.com/Joao Montenegro/status/187339734920605699,Tue Apr 03 21:44:08 BRT 2012,2012-04-03 21:44:37,"Jirau, #Rondônia, #vergonha.",-1,,Joao Montenegro,NULL,NULL,187339734920606000
,TWT,http://twitter.com/| WaaShh |/status/187340055080210432,Tue Apr 03 21:45:24 BRT 2012,2012-04-03 21:45:53,Pq Vc Me Olha tanto ?? Pq Vc Naum fala cmg ?? #VERGONHA !! uhnn intaum tah baum KkKk ... mais só queria saber pq vc me olha tanto ?? só isso,-1,,| WaaShh |,NULL,NULL,187340055080210000
,TWT,http://twitter.com/#ketellen/status/187340282008838145,Tue Apr 03 21:46:18 BRT 2012,2012-04-03 21:46:47,@sandyborba hahahaha aproveite o dia q nao é sempre querida !!#VERGONHA,-1,,#ketellen,NULL,NULL,187340282008838000
,TWT,http://twitter.com/Leone Kristofferson/status/187342332079771648,Tue Apr 03 21:54:27 BRT 2012,2012-04-03 21:54:56,Empresa holandesa lança carro voador http://t.co/pWJD08s7 #Dilma #PT #LULA #PrivatariaTucana #PSDB,-1,,Leone Kristofferson,NULL,NULL,187342332079772000
,TWT,http://twitter.com/antonio jose /status/187343740992622594,Tue Apr 03 22:00:03 BRT 2012,2012-04-03 22:00:32,o #PIG boicota o #livro #privataritucana .@florencio1- #fb#fb#fb,-1,,antonio jose,NULL,NULL,187343740992623000
,TWT,http://twitter.com/antonio jose /status/187343754389233665,Tue Apr 03 22:00:06 BRT 2012,2012-04-03 22:00:35,o #PIG boicota o #livro #privataritucana .@florencio1- #fb#fb#fb http://t.co/ptaaTBkb,-1,,antonio jose,NULL,NULL,187343754389234000
,TWT,http://twitter.com/Carminha /status/187344372323454976,Tue Apr 03 22:02:33 BRT 2012,2012-04-03 22:03:03,não suporto ver esse casal pobre esse lixão fedorento :s #nojo,-1,,Carminha,NULL,NULL,187344372323455000
,TWT,http://twitter.com/Milena Lima ?/status/187344407295557633,Tue Apr 03 22:02:42 BRT 2012,2012-04-03 22:03:11,@pqpelizabeth Que mania linda que vc tem de oferecer o cu p/ os outros.. #nojo,-1,,Milena Lima ?,NULL,NULL,187344407295558000
,TWT,http://twitter.com/Ivy Nascimento/status/187345002354065408,Tue Apr 03 22:05:03 BRT 2012,2012-04-03 22:05:33,@denyma e é por isso que nunca vou jogar com @caioloki. COMPARA AS PORCARIAS Q EU FAÇO COM O Q ELE FAZ! #vergonha,-1,,Ivy Nascimento,NULL,NULL,187345002354065000
,TWT,http://twitter.com/JJ Oliveira/status/187345077071380482,Tue Apr 03 22:05:21 BRT 2012,2012-04-03 22:05:51,Agora a consulta a apólice está indisponível #PortoSeguro continua fazendo #vergonha. Parabéns profissionais de TI.,-1,,JJ Oliveira,NULL,NULL,187345077071380000
,TWT,http://twitter.com/JJ Oliveira/status/187345236341686273,Tue Apr 03 22:05:59 BRT 2012,2012-04-03 22:06:29,Agora a consulta a apólice está indisponível @PortoSeguro continua fazendo #vergonha. Parabéns profissionais de TI.,-1,,JJ Oliveira,NULL,NULL,187345236341686000
,TWT,http://twitter.com/Jaque Sousa/status/187346830739251202,Tue Apr 03 22:12:19 BRT 2012,2012-04-03 22:12:49,#Vergonha =/,-1,,Jaque Sousa,NULL,NULL,187346830739251000
,TWT,http://twitter.com/Pequena/status/187347900857192448,Tue Apr 03 22:16:34 BRT 2012,2012-04-03 22:17:04,Sério....#vergonha,-1,,Pequena,NULL,NULL,187347900857192000
,TWT,http://twitter.com/Bruno S. Morghetti/status/187348008692744193,Tue Apr 03 22:17:00 BRT 2012,2012-04-03 22:17:30,"Cada dia que passa, fico com menos vontade de ir na faculdade. Não pelo curso, não pela estrutura, muito menos pelos professores... #nojo",-1,,Bruno S. Morghetti,NULL,NULL,187348008692744000
,TWT,"http://twitter.com/' Thales !*,, /status/187348305565593600",Tue Apr 03 22:18:11 BRT 2012,2012-04-03 22:18:41,"mais q merda foi o Milan hj ! q isso viu q #Vergonha haha mentira vlw eles tentaram pelo menos,mais só o Real Madrid ? consegue parar eles",-1,,"' Thales !*,,",NULL,NULL,187348305565594000
,TWT,http://twitter.com/Henrique Monteiro/status/187348826150027267,Tue Apr 03 22:20:15 BRT 2012,2012-04-03 22:20:45,Midia News | Governo faz balanço positivo das obras para 2014 http://t.co/JS835198 via @Midia_News. Brasil ñ queime minha cara de #Vergonha,-1,,Henrique Monteiro,NULL,NULL,187348826150027000
,TWT,http://twitter.com/Raiane Martins/status/187349469027762176,Tue Apr 03 22:22:48 BRT 2012,2012-04-03 22:23:18,Minha MÃE me faz um suco tang de abacaxi com coco horrível e acha que eu e meu pai somos obrigados a gostar #NOJO,-1,,Raiane Martins,NULL,NULL,187349469027762000
,TWT,http://twitter.com/Leone Kristofferson/status/187350477686587393,Tue Apr 03 22:26:49 BRT 2012,2012-04-03 22:27:28,Acho que titulo do livro de FHC é um ato falho: A soma e o resto. #Dilma #PT #LULA #PrivatariaTucana #PSDB #FHC,-1,,Leone Kristofferson,NULL,NULL,187350477686587000
,TWT,http://twitter.com/JJ Oliveira/status/187350654392614912,Tue Apr 03 22:27:31 BRT 2012,2012-04-03 22:28:01,Aviso à @PortoSeguro que se quiserem passar menos #vergonha conheço alguns profissionais de TI competentes!,-1,,JJ Oliveira,NULL,NULL,187350654392615000
,TWT,http://twitter.com/Giane Severo/status/187350721593737216,Tue Apr 03 22:27:47 BRT 2012,2012-04-03 22:28:17,@gilbertorateke a Insular é uma sucata nos terminais de integração para os bairros. #VERGONHA,-1,,Giane Severo,NULL,NULL,187350721593737000
,TWT,http://twitter.com/Vanessa Lima/status/187350831593553920,Tue Apr 03 22:28:13 BRT 2012,2012-04-03 22:28:43,tri mau agradecida... >< o @thiagoarnauld me ajudo no meu trabalho da facul e eu nem um obrigada falei... :P #vergonha,-1,,Vanessa Lima,NULL,NULL,187350831593554000
,TWT,http://twitter.com/Leone Kristofferson/status/187351107360669697,Tue Apr 03 22:29:19 BRT 2012,2012-04-03 22:29:49,"Prefiro ler fisica quântica, não tem segundas intenções: livro de FHC é um ato falho: A soma e o resto. #Dilma #PSDB #FHC #PrivatariaTucana",-1,,Leone Kristofferson,NULL,NULL,187351107360670000
,TWT,http://twitter.com/Fabio Costa /status/187351909156388864,Tue Apr 03 22:32:30 BRT 2012,2012-04-03 22:33:00,@Wkrohling @sen_cristovam. Precisamos passo inicial para tentar pacificar ruas do BR. mais de 17 milhoes de armas circulam no BR. #vergonha,-1,,Fabio Costa,NULL,NULL,187351909156389000
,TWT,http://twitter.com/Janaina Pinheiro/status/187352306889654272,Tue Apr 03 22:34:05 BRT 2012,2012-04-03 22:34:35,"@leega_ kkkkkkkkkkkkkkkkk, que tenso veey, #Vergonha",-1,,Janaina Pinheiro,NULL,NULL,187352306889654000
,TWT,http://twitter.com/ ??_CU1D4_D3_M1M ? ?/status/187352350858547202,Tue Apr 03 22:34:15 BRT 2012,2012-04-03 22:34:45,? ??? - && hoj é diia de me deisharem com #VERGONHA é isso ?,-1,,??_CU1D4_D3_M1M ? ?,NULL,NULL,187352350858547000
,TWT,http://twitter.com/ Gihziinhaa Françozo/status/187352386283651072,Tue Apr 03 22:34:24 BRT 2012,2012-04-03 22:34:54,Man até já sei como eu vou conseguir falar com eles :s... #vergonha,-1,,Gihziinhaa Françozo,NULL,NULL,187352386283651000
,TWT,http://twitter.com/Gabriela França/status/187352722985598976,Tue Apr 03 22:35:44 BRT 2012,2012-04-03 22:36:14,gente fingida e que se passava perto de mim #nojo,-1,,Gabriela França,NULL,NULL,187352722985599000
